,1,16,Avian influenza is an infectious disease of birds caused by type A strains of the influenza virus .
345,1,4,Active transport is a mechanism evolved to mediate traffic across cellular membranes .
346,1,3,White souffle of clouds were strolling along the sky .
347,5,7,Its reputation as an efficient firm of accountants has grown and has attracted a large number of companies .
348,0,6,Bone is built up of many cell types and so far we have only investigated human osteoblasts .
349,1,6,The money was stored in red envelopes with Chinese writing .
350,4,7,"This machine is a cluster of 3240 computers , each with 40 processing cores and includes both AMD and Cell processors ."
351,1,9,A question was raised in regard to the public announcement of the names of the three finalists .
352,0,12,Relationships between humans of different races have been depicted in more modern series .
353,3,8,The cost of fuel delivered in a vessel bunker is always high .
354,11,15,"The difference , though , is that this research targeted the phagocytes with the polymer nanoparticles , and not the cancer cells themselves ."
355,1,6,"The collision resulted in two more crashes in the intersection , including a Central Concrete truck that was about to turn left onto College Ave ."
356,5,7,"After they finish wiring , electricians use ohmmeters , voltmeters , and oscilloscopes to measure the amount of electricity running through the system ."
357,17,20,"From the city the red warriors were rushing toward us , and from the jungle the savage horde of green men were coming to meet them ."
358,1,5,These earphones have a short cord so as not to get tangled up or create drag while submerged in water .
359,16,25,A good neck support pillow can be used while you are sleeping to remedy the neck pain which has been caused by the stresses and strains of your daily routine .
360,1,7,The yeast is an ingredient for making beer .
361,2,7,As the boat sailed away from the harbour one of the crew felt increasingly uneasy about some of the signs he observed .
362,14,21,"On instruments with stoppable strings , such as the violin or guitar , the player shortens the vibrating length of the string ."
363,1,8,Personal anecdotes gathered in oral interviews with rural workers and their allies add a compelling human element to the book .
364,1,5,"The movie featured a mutated sheep as the titular monster , which grew larger throughout the movie , until it exploded in the climactic scene ."
365,2,8,The mice brains were removed into a 35mm dish .
366,2,7,A heavy storm is moving into the town .
367,3,9,Carolyn Cooke 's stories have been featured in the book .
368,1,4,A committee assists the commission with the implementation of the programme .
369,1,14,"The ribs are reinforced with metal tips , to which the fabric of the umbrella is sewn ."
370,2,5,The yellow blazes denote the trail .
371,1,5,The damage caused by a bullet depends on the amount of energy which it transfers to the tissues .
372,1,6,A musician who has written an album describing suicide bombers has said he is prepared to be imprisoned under new anti-terrorism legislation .
373,5,9,I 'm importing old document files into the new software .
374,6,10,"Already in recent years , Iowa-raised swans have migrated into regions in Illinois near Savanna where they have had a successful nesting ."
375,0,12,Neuralgia ( TN ) is the most common cause of chronic sinusitis headache .
376,5,15,Certainly it did to the writer at ad agency Saatchi 's who pencilled up a storyboard showing a LandCruiser emerging from the far side of the world .
377,0,7,Bibliometrics is an increasingly important tool for research evaluation .
378,4,8,There are serious legal concerns in relation to cases of this kind and these are the factors we have to bear in mind when deciding what we publish or broadcast .
379,1,2,A brick mason is able to use these materials with hand tools and is able to mix the correct mortar to hold it all together .
380,4,8,The distribution of the damage caused by the earthquake in Valdivia in relation to the form of the terrane .
381,1,6,My feet have sunk into the floor .
382,1,6,My aunt has been put into care suffering with memory loss .
383,5,10,"After recovery , three rescued turtles come out of their shells ."
384,1,7,"This dishwasher has simple , straightforward electronic controls ."
385,9,18,"In the 1960s , a University of Wisconsin graduate student named Thomas Crocker came up with a novel solution for environmental problems ."
386,16,19,This test is performed with the patient sitting or standing and with the examiner holding the arm of the patient flexed to 90 degrees .
387,1,8,"The first part gives an introduction to safety techniques , where risk analysis plays an important part ."
388,2,8,The rainbow flower was made with spool knitted cord on a flower loom .
389,14,17,"Although he initially returns to his wife and children , when they return from evacuation after the war , Pavel now sees his wife as cloying and bourgeois ."
390,8,9,"Palomino-KUM Long Point Pencil Sharpener makes a long pencil point in 2 steps , first sharpening the wood and then precision sharpening the graphite point ."
391,1,4,The cadets departed from training with smiles on their faces as they made the journey back to their schools .
392,2,6,The ice chunks fell from an airplane .
393,13,16,"Sounds of trumpets , bagpipes , and church organ all appear from the strings of the cello ."
394,1,6,"The text handles all of this material well , integrating it into the flow of the argument ."
395,1,10,"A couple embraced next to vehicles piled up by flood waters in Tlalnepantla , Mexico ."
396,1,6,The Air is blown into the mouthpiece .
397,1,5,Condo associations are turning to receiverships to collect rent on foreclosed units .
398,6,10,The first I heard of the crisis was from my boss .
399,1,7,This scholarship was awarded to an outstanding student for recognizing her academic excellence .
